"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvABS","A","A/B","3.7319587628866","2.84158415841584","4.91317893021621","196","1.88661832642507e-06",0.698471390186748
"BvABS","B","A/B","4.20618556701031","2.84158415841584","8.21891539308502","196","2.76155530619818e-14",1.16842422023957
"AvABL","A","A/B Learn","3.7319587628866","2.9010989010989","4.15538796189132","186","4.94745369862957e-05",0.606434553537363
"BvABL","B","A/B Learn","4.20618556701031","2.9010989010989","7.06521533256806","186","3.11660062447891e-11",1.0310928233765
