"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","3.7319587628866","4.20618556701031","-2.74017124986712","192","0.00671992455008831",-0.393465660970373
"ABshortVsABlearn","A/B","A/B Learn","2.84158415841584","2.9010989010989","-0.308920578193842","190","0.757720417666009",-0.044649445556428
"AvAB","A","A/B Test","3.7319587628866","2.86979166666667","5.22917052785056","287","3.28625648237049e-07",0.651396235927236
"BvAB","B","A/B Test","4.20618556701031","2.86979166666667","8.55216144121304","287","7.33794608139261e-16",1.06534023745791
"PolicyVsExperiment","A or B","A/B Test","3.96907216494845","2.86979166666667","8.44704103094343","384","6.23640125248657e-16",0.85989767908419
