Condition,N,% Objecting,M Appropriateness,SD,SEM,95% CI +/-
Lever (A),104,11.538461538461538,4.201923076923077,1.2178271888845957,0.11941778077512308,0.23683700285971862
Automatic (B),100,19,3.98,1.4632190885202738,0.1463219088520274,0.2903344119326754
A/B,97,25.773195876288657,3.6082474226804124,1.3505916992727038,0.1371318102517838,0.2722044919604653
A/B Learn,96,30.208333333333332,3.40625,1.3024521407511942,0.13293096496816845,0.26390133160001056
