"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","4.20192307692308","3.98","1.17923449648103","202","0.239691864450996",0.165157609902031
"ABshortVsABlearn","A/B","A/B Learn","3.60824742268041","3.40625","1.05745404727998","191","0.29164000297299",0.152236459295998
"AvAB","A","A/B Test","4.20192307692308","3.50777202072539","4.42325781608061","295","1.36901544017916e-05",0.538053120036224
"BvAB","B","A/B Test","3.98","3.50777202072539","2.78729807852363","291","0.00566466100857814",0.34343026982754
"PolicyVsExperiment","A or B","A/B Test","4.09313725490196","3.50777202072539","4.36199408762521","395","1.64680723814298e-05",0.438012583888243
