"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvABS","A","A/B","4.20192307692308","3.60824742268041","3.27663033039403","199","0.00123946126231525",0.462511929538763
"BvABS","B","A/B","3.98","3.60824742268041","1.85151563196801","195","0.0656074421719016",0.263860650640649
"AvABL","A","A/B Learn","4.20192307692308","3.40625","4.46475789408383","198","1.34489597044538e-05",0.631917853310864
"BvABL","B","A/B Learn","3.98","3.40625","2.8954032823905","194","0.00422095911086474",0.413715204083782
