policyOrAB,N,Mean,Median,Std,StdErr,corr
Policy,1988,7.787726358148894,8,1.309333250058019,0.02661195330013398,0.02520032571889522
AB Test,1230,7.708130081300813,8,1.375189519947924,0.036883853552841794,-0.03646189238592616
