Condition,N,% Objecting,M Appropriateness,SD,SEM,95% CI +/-
Roof (A),96,23.958333333333336,3.5729166666666665,1.2544220029174826,0.12802890955282933,0.25416952116746905
Training (B),103,10.679611650485436,4.058252427184466,1.1532158167357665,0.11362973082718986,0.2253840323275073
A/B Learn,103,34.95145631067961,3.3106796116504853,1.2448255741550445,0.12265630844226418,0.24328820622805702
