"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","3.57291666666667","4.05825242718447","-2.84363578548062","197","0.00493067502409539",-0.403409647643642
"AvAB","A","A/B Learn","3.57291666666667","3.31067961165049","1.47944398059232","197","0.140618998268395",0.209879893186948
"BvAB","B","A/B Learn","4.05825242718447","3.31067961165049","4.47109363604264","204","1.29050428514022e-05",0.623031709244012
"PolicyVsExperiment","A or B","A/B Learn","3.82412060301508","3.31067961165049","3.43505500373353","300","0.000675945142625564",0.416957717372854
