"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","3.93333333333333","4.34745762711864","-2.64056249648191","191","0.0089615888213413",-0.389945102246669
"ABshortVsABlearn","A/B","A/B Learn","2.83898305084746","2.62745098039216","1.19169517372819","218","0.234676517685623",0.161114798085433
"AvAB","A","A/B Test","3.93333333333333","2.74090909090909","7.00479095534267","293","1.6990611223395e-11",0.93662169902115
"BvAB","B","A/B Test","4.34745762711864","2.74090909090909","11.5767160635115","336","2.61309314253486e-26",1.32096523411883
"PolicyVsExperiment","A or B","A/B Test","4.18652849740933","2.74090909090909","12.1161871183845","411","4.21284222932174e-29",1.19495349200904
