Condition,N,% Objecting,M Appropriateness,SD,SEM,95% CI +/-
Social (A),96,9.375,4.135416666666667,0.9800085033644691,0.10002169903464837,0.19856817838086055
Career (B),101,9.900990099009901,4.099009900990099,1.0344559004138312,0.1029322092543923,0.20421457149942066
A/B Learn,96,16.666666666666664,3.6979166666666665,1.1887170586872366,0.12132292676357398,0.24085646210560926
