"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","4.13541666666667","4.0990099009901","0.253312465195087","195","0.800293624863233",0.0361071633789532
"AvAB","A","A/B Learn","4.13541666666667","3.69791666666667","2.78241730668815","190","0.00594004697464005",0.401607345253569
"BvAB","B","A/B Learn","4.0990099009901","3.69791666666667","2.52983755600496","195","0.012202474748968",0.36060309107384
"PolicyVsExperiment","A or B","A/B Learn","4.11675126903553","3.69791666666667","3.14769526988378","291","0.00181643304552147",0.391793983003733
