Participant,Code,SA,WC
R_2DYAGF4C0QSP1nv,Benefit,1,1
R_wZvBlibeCHVOYWR,Benefit,1,1
R_u1BcdY5KNOJ38Ln,Benefit,1,1
R_tY6PkIDjIma8SXf,Benefit,1,1
R_r9K48FtWeVglg5z,Benefit,0,1
R_Ast0bnCTEiK7UqZ,Benefit,1,1
R_2rU55Tvp9j6g2WJ,Benefit,1,1
R_3WaGZ55uC8exTFL,Benefit,1,0
R_ykWTWqYwPyxerUR,Benefit,0,0
R_3J41aNjWqWglA5z,Benefit,0,0
R_1DUuURSlICWnjZy,Benefit,0,0
R_2QJWN71gm5B9grG,Benefit,0,0
R_3PcxtggChxaCAGs,Benefit,1,1
R_3GADq6sRkCQS6of,Benefit,1,1
R_2cde7Lw6i0pR9q4,Benefit,1,1
R_R4RzVd2A0g6g8ud,Benefit,1,1
R_BJ2b3DmleBe7yrT,Benefit,0,0
R_25szpAxuCo3KS5X,Benefit,1,1
R_2tMeAgWM7Hu2YoS,Benefit,1,1
R_1oaUpBh06TGnL7E,Benefit,1,0
R_1FqrwL1wBa1NQtz,Benefit,1,1
R_9Lw7GUmlIKR6usN,Benefit,0,0
R_1r857dGVHsfrRFg,Benefit,0,0
R_3e1RAJcNLaYx9iM,Benefit,1,1
R_3JDFtdIj9el97E8,Benefit,0,0
R_3FJAtwogktuUsMX,Benefit,1,0
R_2zjO0jKVcChSNDa,Benefit,1,1
R_2OYJBXrxzNJylCO,Benefit,1,1
R_SBmDM4I2jiTZ2Kt,Benefit,0,0
R_2CPb9bgvAL54qha,Benefit,1,1
R_1M4hWjMnLZqIaQa,Benefit,1,1
R_1MKZQU01gtj2Qqi,Benefit,0,0
R_vAGihKR8zcQ4sLv,Benefit,1,1
R_2xRdSCQPRCliJZ5,Benefit,1,1
R_2ZQuiVeqOhaOFi0,Benefit,1,1
R_2e9EbIte08ICFm1,Benefit,0,0
R_1dMrLLPnNvzblGn,Benefit,1,1
R_vUe5vQSGTNYiCc1,Benefit,0,0
R_3JmBndLd8M7XWqc,Benefit,1,1
R_3NE7xGV3llYkLrA,Benefit,1,1
R_6SGiWvfyIUoLPz3,Benefit,0,0
R_Q4CUPDneXBn3DtT,Benefit,1,1
R_3ndr3MQIUKjS64A,Benefit,0,0
R_dhW2ZU18HeVt8eB,Benefit,1,1
R_2TNw9SWlDB1HkQ7,Benefit,1,1
R_OMVIy7LkK5u2Xfj,Benefit,1,1
R_1BWbZbB3SsUVN7t,Benefit,0,0
R_3M6HgNlFYyiQXV7,Benefit,1,1
R_1nOb0Rw9YKU2CPS,Benefit,1,1
