"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","3.75510204081633","3.90291262135922","-0.786294265931574","199","0.432630415350863",-0.110956177613085
"AvAB","A","A/B Learn","3.75510204081633","3.27368421052632","2.53990033363004","191","0.0118846182184414",0.365696235019373
"BvAB","B","A/B Learn","3.90291262135922","3.27368421052632","3.32008070398451","196","0.0010731355684668",0.472281376904796
"PolicyVsExperiment","A or B","A/B Learn","3.83084577114428","3.27368421052632","3.37417555654853","294","0.000839760047377702",0.420100984329579
