"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","3.62916666666667","3.7","-0.601142954420459","478","0.54802973349704",-0.0548765927368975
"AvAB","A","A/B Learn","3.62916666666667","3.46666666666667","1.33354346932355","478","0.182988630750011",0.121735306593701
"BvAB","B","A/B Learn","3.7","3.46666666666667","1.98056204795289","478","0.048213253542364",0.180799751700404
"PolicyVsExperiment","A or B","A/B Learn","3.66458333333333","3.46666666666667","1.91839960105208","718","0.0554566260266587",0.151662805042073
