"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","3.72549019607843","3.75471698113208","-0.184079449779529","206","0.854132203654332",-0.0255319483092993
"AvAB","A","A/B Learn","3.72549019607843","3.63541666666667","0.537158675003858","196","0.591767287357162",0.0763834880650958
"BvAB","B","A/B Learn","3.75471698113208","3.63541666666667","0.723608041715995","200","0.470151883227225",0.101950772359014
"PolicyVsExperiment","A or B","A/B Learn","3.74038461538462","3.63541666666667","0.731717340558218","302","0.464908518387719",0.0902844288642906
