"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","4.53061224489796","4.33333333333333","1.48319935385725","198","0.139611437777319",0.209798027995193
"AvAB","A","A/B Learn","4.53061224489796","3.33333333333333","7.12960910941421","198","1.84125584696128e-11",1.00848070601009
"BvAB","B","A/B Learn","4.33333333333333","3.33333333333333","5.62725364690071","202","6.05911496712668e-08",0.787973120952905
"PolicyVsExperiment","A or B","A/B Learn","4.43","3.33333333333333","7.88819228928355","300","5.76144217766679e-14",0.959767139676036
