"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","3.74576271186441","4.13605442176871","-2.63145330783463","322","0.00891123848276861",-0.293645177523324
"ABshortVsABlearn","A/B","A/B Learn","2.86708860759494","2.90862944162437","-0.269646736188285","353","0.787589595914099",-0.0287970292760227
"AvAB","A","A/B Test","3.74576271186441","2.89014084507042","6.53141239838413","530","1.52932212565432e-10",0.600982896849209
"BvAB","B","A/B Test","4.13605442176871","2.89014084507042","9.14864233672793","500","1.46037875758301e-18",0.897295860024813
"PolicyVsExperiment","A or B","A/B Test","3.92283950617284","2.89014084507042","9.64110988727485","677","1.06551367395859e-20",0.740756103215336
