Condition,N,% Objecting,M Appropriateness,SD,SEM,95% CI +/-
Badge (A),177,20.33898305084746,3.7457627118644066,1.388997598895714,0.104403452811543,0.2060438043188314
Poster (B),147,13.60544217687075,4.136054421768708,1.253157413842052,0.103358681459812,0.2042724809676449
A/B,158,44.936708860759495,2.867088607594937,1.4763719966029778,0.11745384960505652,0.23199357090153488
A/B Learn,197,40.10152284263959,2.9086294416243654,1.4148543769251585,0.10080420051839953,0.19880011915902174
