"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvABS","A","A/B","3.74576271186441","2.86708860759494","5.61079436973659","333","4.24153081093641e-08",0.614089369500793
"BvABS","B","A/B","4.13605442176871","2.86708860759494","8.06315589325144","303","1.74144816617693e-14",0.923991051708854
"AvABL","A","A/B Learn","3.74576271186441","2.90862944162437","5.76261754203895","372","1.73925083832332e-08",0.596809670631205
"BvABL","B","A/B Learn","4.13605442176871","2.90862944162437","8.35320434079125","342","1.68084584447462e-15",0.910417393517333
