Group 1,Group 2,Mean 1,Mean 2,t,df,p,d
A,B,3.46052631578947,3.57692307692308,-0.524711375313051,152,0.600548276393682,-0.08457202750833491
A,A/B Test,3.46052631578947,2.31168831168831,5.07981254739203,151,1.09994364856472e-06,0.8213745516773849
B,A/B Test,3.57692307692308,2.31168831168831,5.72500547345858,153,5.3042235749512e-08,0.9197061516767797
A or B,A/B Test,3.51948051948052,2.31168831168831,6.2645277864598,229,1.83226005218996e-09,0.8743566286354987
