Group 1,Group 2,Mean 1,Mean 2,t,df,p,d
A,B,3.16883116883117,4.10666666666667,-4.18677895913443,150,4.8047726049367e-05,-0.6792440340820111
A,A/B Test,3.16883116883117,2.41891891891892,3.52257846673464,149,0.000567638003866658,0.5734399254079651
B,A/B Test,4.10666666666667,2.41891891891892,7.52881748907981,147,4.76065908201008e-12,1.233597304947718
A or B,A/B Test,3.63157894736842,2.41891891891892,6.09451610685453,224,4.74568034932206e-09,0.8638847248188128
