Condition,N,% Objecting,M Appropriateness,SD,SEM,95% CI +/-
AB Test,2065,34.33414043583535,3.2421307506053267,1.3641546607046993,0.030019508897412322,0.058871679279624174
Policy,2777,15.26827511703277,3.995678790061217,1.2179534946913253,0.023112278709869736,0.04531899327434948
