Condition,N,% Objecting,M Appropriateness,SD,SEM,95% CI +/-
AB Test,504,36.11111111111111,3.1865079365079363,1.2972430270037487,0.05778379707654242,0.11352732948551418
Policy,1575,20.761904761904763,3.7644444444444445,1.2762140466292398,0.032157571305412934,0.06307618487950178
