"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","4.1340206185567","4.30392156862745","-1.10195311807031","197","0.271826517775391",-0.156280108224488
"ABshortVsABlearn","A/B","A/B Learn","3.58241758241758","3.625","-0.226145145695669","177","0.821349466037811",-0.0338105124424603
"AvAB","A","A/B Test","4.1340206185567","3.60335195530726","3.43208087551574","274","0.000691459189210687",0.432712729750828
"BvAB","B","A/B Test","4.30392156862745","3.60335195530726","4.82345880072626","279","2.32392692841287e-06",0.598391108831385
"PolicyVsExperiment","A or B","A/B Test","4.22110552763819","3.60335195530726","5.12349866143258","376","4.80408905220748e-07",0.527787953333304
