"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvABS","A","A/B","4.1340206185567","3.58241758241758","3.22558993071345","186","0.00148527693323172",0.470740447694926
"BvABS","B","A/B","4.30392156862745","3.58241758241758","4.60279738294096","191","7.58802999301324e-06",0.663712091907373
"AvABL","A","A/B Learn","4.1340206185567","3.625","2.7567313842133","183","0.00642966224209929",0.405838376076696
"BvABL","B","A/B Learn","4.30392156862745","3.625","3.981824801426","188","9.76517090314959e-05",0.579318671209284
