Respondent ID,Code ,SA,MM
6297200501,Benefit,0,0
6297200628,Benefit,0,0
6297200635,Benefit,0,1
6297202377,Benefit,0,0
6297202950,Benefit,0,0
6297204378,Benefit,0,0
6297214605,Benefit,0,0
6297218301,Benefit,0,0
6297250553,Benefit,0,0
6297268319,Benefit,0,0
6297273339,Benefit,0,0
6297276868,Benefit,0,0
6297286332,Benefit,0,0
6297305259,Benefit,1,1
6297348086,Benefit,1,1
6297353021,Benefit,1,1
6297357432,Benefit,0,0
6297358181,Benefit,1,1
6297358630,Benefit,0,0
6297384573,Benefit,0,0
6297388125,Benefit,1,1
6297399576,Benefit,1,1
6297402305,Benefit,0,0
6297446232,Benefit,0,0
6297459273,Benefit,0,0
6297480451,Benefit,0,0
6297481285,Benefit,0,0
6297503428,Benefit,0,0
6297538474,Benefit,0,0
6297540267,Benefit,0,0
6297568973,Benefit,0,0
6297634747,Benefit,0,0
6297657007,Benefit,1,1
6297679841,Benefit,0,0
6297085434,Benefit,0,0
6297085888,Benefit,0,0
6297087370,Benefit,0,0
6297087586,Benefit,0,0
6297087596,Benefit,0,0
6297088535,Benefit,0,0
6297089491,Benefit,0,0
6297090036,Benefit,0,0
6297092146,Benefit,1,1
6297093732,Benefit,0,0
6297094527,Benefit,0,0
6297095030,Benefit,1,1
6297095488,Benefit,0,0
6297095762,Benefit,0,1
6297097737,Benefit,0,0
6297097891,Benefit,0,1
6297098147,Benefit,0,0
6297098542,Benefit,1,1
6297099345,Benefit,0,0
6297103562,Benefit,0,0
6297104180,Benefit,1,1
6297107145,Benefit,0,0
6297107244,Benefit,0,0
6297107994,Benefit,0,0
6297108103,Benefit,1,1
6297109495,Benefit,0,0
6297111367,Benefit,0,0
6297112355,Benefit,1,1
6297113413,Benefit,0,0
6297113691,Benefit,1,1
6297113899,Benefit,0,0
6297115532,Benefit,0,0
6297116194,Benefit,0,0
6297117730,Benefit,0,0
6297117940,Benefit,0,0
6297117960,Benefit,0,0
6297119550,Benefit,0,0
6297122963,Benefit,0,0
6297123125,Benefit,0,0
6297123583,Benefit,0,0
6297128816,Benefit,0,0
6297132428,Benefit,0,0
6297134747,Benefit,0,0
6297135288,Benefit,0,0
6297137613,Benefit,0,0
6297142129,Benefit,1,1
6297145065,Benefit,1,1
6297147521,Benefit,0,0
6297153365,Benefit,0,0
6297155132,Benefit,0,0
6297155426,Benefit,0,0
6297156874,Benefit,0,0
6297161815,Benefit,0,0
6297162736,Benefit,1,1
6297163812,Benefit,0,0
6297166684,Benefit,0,0
6297172639,Benefit,0,0
6297183415,Benefit,0,0
6297187097,Benefit,0,0
6297191259,Benefit,0,0
6297192905,Benefit,0,0
6297195431,Benefit,0,0
6297199984,Benefit,0,0
6297200751,Benefit,1,1
6297202360,Benefit,0,0
6297203289,Benefit,0,0
6297220574,Benefit,1,1
6297223279,Benefit,0,0
6297235496,Benefit,0,0
6297240392,Benefit,0,0
6297252813,Benefit,0,0
6297265963,Benefit,0,0
6297286920,Benefit,1,0
6297321790,Benefit,0,0
6297325727,Benefit,0,0
6297339557,Benefit,0,0
6297359889,Benefit,0,0
6297362319,Benefit,0,0
6297402285,Benefit,0,0
6297421188,Benefit,0,0
6297425142,Benefit,0,0
6297431668,Benefit,0,0
6297453769,Benefit,0,0
6297456913,Benefit,1,1
6297457789,Benefit,1,1
6297483296,Benefit,1,1
6297488926,Benefit,0,0
6297529887,Benefit,1,1
6297550923,Benefit,1,1
6297596917,Benefit,1,1
6297604728,Benefit,0,0
