"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","4.04040404040404","3.63917525773196","2.28055218619278","194","0.0236619398783946",0.325810132107802
"AvAB","A","A/B Learn","4.04040404040404","3.33653846153846","4.25427509088913","201","3.21361714953602e-05",0.597364377607751
"BvAB","B","A/B Learn","3.63917525773196","3.33653846153846","1.6461011510558","199","0.101321333502762",0.232354993643498
"PolicyVsExperiment","A or B","A/B Learn","3.84183673469388","3.33653846153846","3.34041476130294","298","0.00094302009281164",0.40524374129367
