Condition,N,% Objecting,M Appropriateness,SD,SEM,95% CI +/-
Bonus (A),99,12.121212121212121,4.040404040404041,1.0965548267855894,0.11020790674245325,0.21870400415990432
Vacation (B),97,27.835051546391753,3.6391752577319587,1.3554332564588993,0.13762339590401168,0.27318028176790715
A/B Learn,104,31.73076923076923,3.3365384615384617,1.2511010833807334,0.1226805545699122,0.2433079451394303
