Condition,N,% Objecting,M Appropriateness,SD,SEM,95% CI +/-
Badge (A),90,21.11111111111111,3.8222222222222224,1.2770909514897633,0.13461720619664191,0.26748152129977243
Poster (B),90,12.222222222222221,3.977777777777778,1.1215737115820164,0.11822424974559811,0.2349090660096143
A/B,85,29.411764705882355,3.4823529411764707,1.305772574687768,0.14163092121703147,0.28164861907486377
A/B Learn,78,28.205128205128204,3.5128205128205128,1.256087408485404,0.14222389255062243,0.2832039511706722
