"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvABS","A","A/B","3.82222222222222","3.48235294117647","1.74046293067824","173","0.0835558417845303",0.263240728886367
"BvABS","B","A/B","3.97777777777778","3.48235294117647","2.6970561102346","173","0.00768757531674199",0.407923089766077
"AvABL","A","A/B Learn","3.82222222222222","3.51282051282051","1.57806827980994","166","0.116453643083154",0.24412478573307
"BvABL","B","A/B Learn","3.97777777777778","3.51282051282051","2.53449136405994","166","0.0121861606363151",0.392081996140224
