"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","3.82222222222222","3.97777777777778","-0.868243142124459","178","0.386430330149621",-0.129430045785887
"ABshortVsABlearn","A/B","A/B Learn","3.48235294117647","3.51282051282051","-0.151540245161899","161","0.87973928529607",-0.0237610169170702
"AvAB","A","A/B Test","3.82222222222222","3.49693251533742","1.93829952128538","251","0.0537079630071765",0.25454589177499
"BvAB","B","A/B Test","3.97777777777778","3.49693251533742","2.98880010711565","251","0.00307871192626319",0.392502180518739
"PolicyVsExperiment","A or B","A/B Test","3.9","3.49693251533742","3.01029115532345","341","0.00280453315227107",0.325480899730264
