"","Group 1","Group 2","Mean 1","Mean 2","t","df","p","d"
"AvB","A","B","4.125","4.19","-0.416540435714552","202","0.677456850619901",-0.0583385433477887
"AvAB","A","A/B Learn","4.125","3.38383838383838","4.2312760752521","201","3.5305485598418e-05",0.594134968985109
"BvAB","B","A/B Learn","4.19","3.38383838383838","4.60155251507771","197","7.49998329450656e-06",0.652399055565291
"PolicyVsExperiment","A or B","A/B Learn","4.15686274509804","3.38383838383838","5.26559797229129","301","2.66392694875014e-07",0.644965272246716
